Date,EMBR3.SA,AZUL4.SA,MGLU3.SA,PETR4.SA,IRBR3.SA
2019-01-02,21.540000915527344,36.33000183105469,5.645669937133789,23.28478240966797,24.319772720336914
2019-01-03,21.899999618530273,36.369998931884766,5.585264205932617,23.85577392578125,24.033658981323242
2019-01-04,20.799999237060547,36.25,5.415277481079102,23.92351722717285,23.765060424804688
2019-01-07,21.229999542236328,35.29999923706055,5.499359607696533,24.300952911376953,24.00446128845215
2019-01-08,21.360000610351562,34.720001220703125,5.455042362213135,24.15578269958496,24.23218536376953
2019-01-09,21.280000686645508,35.150001525878906,5.436829090118408,24.659029006958008,24.16795539855957
2019-01-10,20.989999771118164,35.90999984741211,5.4896464347839355,24.446117401123047,23.671634674072266
2019-01-11,21.530000686645508,37.20000076293945,5.390994548797607,24.184818267822266,23.195751190185547
2019-01-14,21.6200008392334,37.470001220703125,5.433490753173828,24.049327850341797,23.093564987182617
2019-01-15,21.760000228881836,37.0,5.371870040893555,24.02997398376465,23.3563232421875
2019-01-16,21.5,37.0,5.312070846557617,24.020294189453125,24.23218536376953
2019-01-17,20.469999313354492,37.04999923706055,5.2962870597839355,24.34934425354004,24.407358169555664
2019-01-18,19.850000381469727,36.36000061035156,5.287787914276123,24.581605911254883,25.16935920715332
2019-01-21,20.139999389648438,36.18000030517578,5.0692338943481445,24.70741844177246,25.12264633178711
2019-01-22,19.479999542236328,35.5,4.918978214263916,24.32030487060547,25.280302047729492
2019-01-23,19.459999084472656,36.0,5.148156642913818,24.610641479492188,25.25694465637207
2019-01-24,19.670000076293945,36.060001373291016,5.083804130554199,24.71709632873535,25.671520233154297
2019-01-28,19.260000228881836,35.060001373291016,5.0807695388793945,23.971908569335938,25.7445068359375
2019-01-29,19.15999984741211,34.79999923706055,5.406171798706055,24.552574157714844,25.22774887084961
2019-01-30,19.420000076293945,35.95000076293945,5.346978664398193,24.794519424438477,25.049657821655273
2019-01-31,19.34000015258789,37.11000061035156,5.435615062713623,24.755807876586914,24.892000198364258
2019-02-01,19.270000457763672,37.20000076293945,5.427420139312744,24.968721389770508,25.34453010559082
2019-02-04,19.43000030517578,38.040000915527344,5.374905586242676,25.191308975219727,25.545978546142578
2019-02-05,19.6299991607666,38.59000015258789,5.327249526977539,25.23969841003418,25.327014923095703
2019-02-06,18.989999771118164,37.29999923706055,5.151191711425781,24.66870880126953,25.108047485351562
2019-02-07,18.399999618530273,36.18000030517578,5.063163757324219,24.281597137451172,25.049657821655273
2019-02-08,18.940000534057617,37.0,5.160298824310303,24.32030487060547,26.04521942138672
2019-02-11,18.670000076293945,37.20000076293945,5.0185418128967285,24.03965187072754,26.053977966308594
2019-02-12,18.6299991607666,38.2599983215332,5.0024542808532715,24.891298294067383,27.12253189086914
2019-02-13,18.770000457763672,38.400001525878906,4.896212577819824,25.210662841796875,26.468551635742188
2019-02-14,19.299999237060547,38.599998474121094,5.1812424659729,26.081666946411133,26.85977554321289
2019-02-15,19.329999923706055,38.5,4.977259159088135,25.975210189819336,26.61161231994629
2019-02-18,18.889999389648438,38.880001068115234,5.11598014831543,25.89778709411621,26.772184371948242
2019-02-19,19.280000686645508,38.65999984741211,5.149977684020996,26.49781036376953,26.888965606689453
2019-02-20,19.100000381469727,38.150001525878906,4.932638168334961,26.168766021728516,27.078737258911133
2019-02-21,19.489999771118164,37.4900016784668,4.89014196395874,26.51716423034668,27.69476318359375
2019-02-22,19.510000228881836,37.900001525878906,5.400099754333496,26.25586700439453,27.268510818481445
2019-02-25,19.399999618530273,38.20000076293945,5.272610187530518,25.8397216796875,27.29770278930664
2019-02-26,19.700000762939453,38.5,5.418313503265381,25.723590850830078,27.370691299438477
2019-02-27,19.350000381469727,37.900001525878906,5.342426776885986,26.207477569580078,26.27586555480957
2019-02-28,19.079999923706055,37.650001525878906,5.265326023101807,26.18812370300293,25.983909606933594
2019-03-01,18.959999084472656,36.75,5.318748950958252,25.8397216796875,26.29629898071289
2019-03-07,19.110000610351562,36.400001525878906,5.377333164215088,25.907466888427734,25.254026412963867
2019-03-08,19.290000915527344,37.060001373291016,5.488736152648926,25.810686111450195,26.597013473510742
2019-03-11,19.219999313354492,39.45000076293945,5.541856288909912,26.855892181396484,26.56781768798828
2019-03-12,18.850000381469727,40.209999084472656,5.4289374351501465,26.613941192626953,26.319658279418945
2019-03-13,18.81999969482422,40.5,5.381280422210693,27.19461441040039,26.05105972290039
2019-03-14,18.790000915527344,41.279998779296875,5.357603549957275,27.281713485717773,25.983909606933594
2019-03-15,19.75,41.5,5.3785481452941895,27.339778900146484,25.718233108520508
2019-03-18,19.739999771118164,42.220001220703125,5.4765944480896,27.813993453979492,26.214555740356445
2019-03-19,19.459999084472656,42.06999969482422,5.485092639923096,28.25916862487793,26.56781768798828
2019-03-20,19.219999313354492,41.16999816894531,5.513322830200195,28.03658103942871,26.56781768798828
2019-03-21,19.100000381469727,40.95000076293945,5.532142639160156,27.63979148864746,26.453954696655273
2019-03-22,18.700000762939453,39.45000076293945,5.260468482971191,26.130054473876953,26.08379554748535
2019-03-25,18.549999237060547,39.02000045776367,5.254701614379883,26.4591007232666,26.458425521850586
2019-03-26,18.649999618530273,39.77000045776367,5.360335350036621,27.70753288269043,26.493549346923828
2019-03-27,18.389999389648438,37.689998626708984,5.099588394165039,26.4591007232666,26.13062286376953
2019-03-28,18.530000686645508,37.25,5.1842780113220215,27.155899047851562,26.04867172241211
2019-03-29,18.450000762939453,38.27000045776367,5.246809482574463,27.155899047851562,26.70720672607422
